credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Good,Employed,House,Fair,Mortgage,Collection,Home Improvement,13484,32781,21,38,1,2,5,8870,10647,30,3198,12387,Approved
Fair,Self-Employed,Car,Poor,Auto,Other,Home Improvement,27685,19638,10,56,1,5,4,16128,576,66,4951,7455,Rejected
Poor,Self-Employed,Other,Poor,Auto,Other,Home Improvement,10552,46442,27,14,1,5,0,17583,971,28,2282,1575,Rejected
Good,Employed,None,Excellent,Personal,None,Debt Consolidation,27796,44509,20,36,5,1,4,7880,257,58,3559,14411,Rejected
Fair,Unemployed,None,Poor,Auto,Judgement,Other,33929,36301,65,47,1,4,3,14705,10486,47,1012,19542,Rejected
Excellent,Unemployed,Land,Poor,Auto,Collection,Other,32378,17131,59,74,0,4,2,18938,17401,68,4477,15893,Rejected
Excellent,Employed,Land,Good,Mortgage,Other,Business,41314,13662,97,15,4,5,1,928,3730,17,3707,16827,Rejected
Excellent,Employed,Car,Poor,Personal,Collection,Business,10725,16631,66,61,4,0,4,15631,16885,62,3120,14923,Rejected
Excellent,Employed,Other,Poor,Auto,Judgement,Business,31851,40517,99,99,1,5,1,7506,3368,21,4359,17402,Rejected
Poor,Employed,Land,Poor,Personal,Other,Business,27872,18551,5,79,4,5,2,19678,7243,10,1430,9330,Rejected
Excellent,Unemployed,None,Excellent,Personal,Other,Business,23890,30223,20,74,4,5,4,6598,19020,52,3753,18795,Rejected
Fair,Unemployed,Land,Fair,Auto,Other,Car Financing,46592,32827,94,11,2,4,4,5809,19586,75,2186,7893,Rejected
Good,Unemployed,Investment,Excellent,Mortgage,Judgement,Car Financing,29641,16858,29,81,5,4,0,4245,2667,92,1057,2202,Rejected
Fair,Unemployed,Land,Good,Personal,Tax Lien,Business,41116,40383,5,90,5,2,4,1766,4748,43,3637,3615,Rejected
Fair,Self-Employed,Land,Poor,Other,Tax Lien,Home Improvement,44060,22179,14,94,4,4,1,14355,18204,72,2676,14070,Rejected
Fair,Unemployed,None,Good,Mortgage,Bankruptcy,Home Improvement,44509,20707,13,84,2,4,4,11071,15437,79,2766,493,Rejected
Good,Unemployed,Car,Excellent,Mortgage,None,Home Improvement,48999,21020,7,61,4,0,5,4267,10868,50,2596,19136,Rejected
Good,Unemployed,Land,Good,Personal,Tax Lien,Other,42946,35632,51,20,5,2,4,17144,5701,20,4175,659,Rejected
Excellent,Employed,Investment,Good,Student,Other,Home Improvement,12881,32323,51,99,4,4,2,3878,7947,7,4942,94,Rejected
Excellent,Self-Employed,None,Good,Other,Collection,Debt Consolidation,34724,13124,7,75,0,1,1,1198,10223,31,1005,18648,Rejected
Poor,Self-Employed,None,Poor,Mortgage,Bankruptcy,Home Improvement,48926,19133,88,12,2,2,3,542,2281,90,3755,15053,Rejected
Poor,Self-Employed,Land,Excellent,Student,Collection,Debt Consolidation,29144,10099,40,48,0,3,1,7431,5847,66,3257,2462,Rejected
Fair,Unemployed,House,Good,Personal,None,Home Improvement,12570,48920,14,85,3,1,1,3580,18961,17,2797,2721,Rejected
Poor,Unemployed,None,Excellent,Student,Judgement,Business,14235,26433,31,7,3,1,0,14005,1255,45,2164,7903,Rejected
Poor,Employed,Car,Fair,Other,Judgement,Debt Consolidation,28574,37194,29,19,2,3,0,9076,2279,9,4973,12827,Rejected
Good,Unemployed,House,Fair,Other,Tax Lien,Car Financing,43348,20504,61,31,2,4,4,17218,8675,72,1552,15278,Rejected
Fair,Employed,Other,Excellent,Personal,None,Home Improvement,49603,47056,61,67,2,1,2,12893,7753,39,1143,17499,Rejected
Fair,Unemployed,Other,Good,Auto,Judgement,Other,15281,28713,82,94,3,3,4,12831,18440,50,1112,17576,Rejected
Good,Employed,Other,Poor,Other,Collection,Business,15776,44959,25,97,1,0,1,8392,7361,18,2825,18372,Approved
Excellent,Employed,None,Poor,Mortgage,None,Home Improvement,43186,28719,9,43,1,1,3,14241,12607,12,3020,9967,Rejected
Poor,Self-Employed,Car,Fair,Student,None,Debt Consolidation,44131,16213,64,57,3,3,4,3607,17625,66,2876,19914,Rejected
Excellent,Employed,Car,Poor,Student,Judgement,Business,44780,16306,20,15,1,3,1,5319,5724,59,2692,13300,Rejected
Poor,Employed,Other,Excellent,Other,Bankruptcy,Debt Consolidation,39338,48293,70,72,0,1,3,12088,15857,91,1083,733,Rejected
Excellent,Employed,House,Excellent,Student,None,Business,22270,13797,87,4,5,5,3,3435,2867,18,1137,12723,Rejected
Poor,Employed,Investment,Good,Student,Judgement,Business,22875,19554,38,83,2,2,5,12738,8179,52,2228,17945,Rejected
Good,Self-Employed,Investment,Poor,Mortgage,Collection,Home Improvement,42444,25209,12,73,2,3,3,10188,17629,16,4849,14227,Approved
Poor,Self-Employed,Land,Poor,Student,Collection,Other,45755,36522,0,51,1,3,3,14279,11653,3,2631,7695,Rejected
Excellent,Employed,Investment,Good,Student,None,Business,40111,29890,75,27,4,5,4,3283,8087,70,3530,11140,Rejected
Excellent,Self-Employed,Land,Good,Student,Bankruptcy,Car Financing,35915,14478,91,65,2,5,3,13207,16912,9,2031,12922,Rejected
Good,Self-Employed,Land,Excellent,Other,Other,Debt Consolidation,22132,36562,67,25,5,1,4,19776,17214,88,1154,18486,Approved
Poor,Unemployed,Land,Good,Other,Tax Lien,Debt Consolidation,14728,29357,6,59,4,0,3,13703,15546,37,1723,7101,Rejected
Good,Employed,None,Good,Other,None,Car Financing,27587,48462,30,51,3,1,5,4022,8397,17,1682,12760,Approved
Fair,Employed,Car,Fair,Mortgage,Tax Lien,Other,41502,13902,5,15,1,4,5,8837,7974,23,1281,18725,Rejected
Poor,Unemployed,House,Fair,Student,Judgement,Car Financing,27741,19631,28,8,2,5,4,11145,2579,62,3639,11056,Rejected
Good,Unemployed,None,Good,Student,None,Home Improvement,10159,34597,6,76,4,2,5,12199,3391,73,2488,15760,Rejected
Poor,Self-Employed,Land,Poor,Auto,Collection,Other,13371,24730,40,45,4,3,4,15052,5025,37,1307,10911,Rejected
Good,Self-Employed,Investment,Excellent,Student,Judgement,Business,17001,14094,15,22,4,2,0,11776,10279,95,3644,10711,Rejected
Excellent,Self-Employed,Investment,Fair,Personal,None,Car Financing,11945,45442,8,62,4,2,4,7585,7030,51,2691,2329,Rejected
Poor,Self-Employed,Investment,Good,Student,Collection,Business,17733,42032,27,50,5,4,0,8352,11977,33,3266,2144,Rejected
Excellent,Employed,Investment,Fair,Other,Other,Home Improvement,19669,39550,94,78,1,4,1,1196,4724,26,1330,4890,Rejected
Poor,Employed,Other,Good,Mortgage,Bankruptcy,Other,34150,36147,44,95,2,2,0,6649,11002,66,1495,13148,Rejected
Poor,Self-Employed,Car,Fair,Personal,Judgement,Business,31887,48048,50,92,0,1,2,12218,16833,9,3797,19053,Rejected
Fair,Employed,Other,Excellent,Other,Bankruptcy,Debt Consolidation,39061,44189,56,65,0,1,0,2469,4701,39,1502,1233,Rejected
Excellent,Employed,Land,Poor,Auto,Collection,Home Improvement,33546,43867,65,48,1,2,3,10290,17253,72,4438,7405,Rejected
Excellent,Employed,Other,Good,Personal,Collection,Business,13205,29715,72,80,3,5,3,7947,18806,74,1602,15531,Rejected
Excellent,Employed,House,Poor,Auto,Bankruptcy,Car Financing,17292,36363,100,28,4,2,5,18535,4824,13,2410,7379,Rejected
Good,Self-Employed,House,Fair,Mortgage,None,Car Financing,36092,37832,43,7,1,5,0,10671,11470,98,3596,2395,Rejected
Good,Unemployed,Car,Poor,Personal,Other,Business,21005,20176,49,48,2,1,2,8865,5499,95,3748,8433,Approved
Good,Employed,Land,Fair,Other,Tax Lien,Business,12155,14508,98,94,1,2,0,11595,11547,88,4068,19277,Rejected
Excellent,Self-Employed,Investment,Excellent,Mortgage,Collection,Business,47523,19735,11,29,1,5,0,15340,17774,49,3046,8237,Rejected
Good,Self-Employed,Other,Good,Auto,Other,Other,18477,35372,30,51,2,4,3,13319,2090,26,3460,17630,Approved
Good,Employed,Other,Poor,Mortgage,Collection,Debt Consolidation,46666,30790,1,63,0,4,2,17896,18493,14,3629,6227,Approved
Fair,Employed,Investment,Poor,Auto,Judgement,Debt Consolidation,10093,32141,6,33,0,4,4,18479,17990,16,2195,6191,Rejected
Fair,Unemployed,Car,Good,Mortgage,Other,Other,41910,12000,73,67,1,4,0,3446,360,49,3619,5766,Rejected
Poor,Unemployed,Investment,Excellent,Other,Tax Lien,Car Financing,41807,26293,59,80,0,0,1,8618,19730,52,2464,17445,Rejected
Good,Unemployed,Land,Fair,Mortgage,Judgement,Other,39375,39962,55,100,3,1,0,7317,14996,39,3709,3223,Rejected
Fair,Self-Employed,None,Good,Personal,None,Home Improvement,25019,47175,64,10,2,0,4,385,9338,87,2173,531,Rejected
Good,Unemployed,House,Excellent,Mortgage,Judgement,Car Financing,16576,37711,83,88,3,0,2,6604,12371,48,1070,4434,Approved
Excellent,Unemployed,Other,Excellent,Personal,Bankruptcy,Debt Consolidation,20181,11330,99,68,3,5,0,1224,19616,24,4894,11611,Rejected
Excellent,Self-Employed,Car,Good,Personal,Tax Lien,Car Financing,17796,11523,8,54,3,3,5,10248,4760,36,1258,6632,Rejected
Poor,Unemployed,Land,Fair,Other,Tax Lien,Car Financing,17560,29863,64,78,2,3,4,7812,9207,9,2403,18613,Rejected
Good,Employed,Land,Excellent,Other,None,Business,21619,43145,68,8,5,5,1,2175,16572,24,4519,4020,Rejected
Excellent,Unemployed,None,Good,Mortgage,Other,Home Improvement,39893,30001,82,54,4,1,4,9465,11235,0,3193,5036,Rejected
Fair,Employed,Car,Fair,Personal,Collection,Other,10469,35543,9,88,1,0,3,16327,8447,66,2968,3933,Rejected
Excellent,Employed,Land,Poor,Personal,Other,Debt Consolidation,46790,38159,96,35,1,5,4,12911,1294,86,4866,18823,Rejected
Fair,Employed,Car,Poor,Auto,Other,Car Financing,31465,30191,40,57,4,3,0,8445,14844,58,4200,3566,Rejected
Fair,Self-Employed,None,Excellent,Student,Tax Lien,Car Financing,18957,10664,51,25,1,4,0,7198,16485,59,3568,3910,Rejected
Good,Unemployed,Car,Good,Auto,Judgement,Debt Consolidation,27005,23903,74,25,3,4,4,3722,17936,19,3372,6155,Rejected
Excellent,Self-Employed,Investment,Excellent,Student,Bankruptcy,Business,35769,49462,85,49,5,2,2,15677,18808,62,4737,9317,Rejected
Excellent,Employed,Other,Poor,Auto,Collection,Other,16213,28170,13,88,0,5,2,8103,5696,92,1514,8062,Rejected
Poor,Self-Employed,Car,Excellent,Personal,Tax Lien,Car Financing,10595,27671,16,8,3,2,2,11130,17627,17,4413,7190,Rejected
Excellent,Self-Employed,Land,Good,Personal,Other,Car Financing,22453,38089,46,98,0,5,1,12359,13971,84,1928,12909,Rejected
Good,Self-Employed,Other,Excellent,Auto,Other,Home Improvement,21113,49219,6,7,1,0,1,11368,13326,28,4249,2177,Rejected
Excellent,Unemployed,Car,Excellent,Personal,Tax Lien,Debt Consolidation,33024,26898,75,47,2,5,3,18953,15926,57,4940,19243,Rejected
Poor,Unemployed,Car,Excellent,Student,Judgement,Business,17607,47299,33,73,1,0,5,4070,12982,62,3982,2176,Rejected
Excellent,Employed,House,Poor,Other,Bankruptcy,Business,23173,26008,58,24,0,2,2,6808,15010,87,2433,8927,Rejected
Good,Self-Employed,Investment,Fair,Student,Other,Car Financing,18413,33690,92,100,5,3,3,19719,9412,37,4174,5603,Rejected
Excellent,Employed,None,Excellent,Student,Collection,Debt Consolidation,32798,13862,47,27,2,4,0,10321,17789,31,3379,13484,Rejected
Good,Unemployed,Car,Excellent,Student,Other,Business,35633,22938,65,55,3,0,0,146,7281,96,4804,704,Rejected
Good,Unemployed,House,Excellent,Other,Tax Lien,Other,14617,46073,83,61,0,0,4,17757,10314,84,4879,19245,Rejected
Fair,Self-Employed,Land,Fair,Mortgage,Other,Debt Consolidation,20729,14135,23,5,2,0,1,8228,817,26,3552,10247,Rejected
Good,Self-Employed,Investment,Poor,Other,None,Car Financing,44904,37445,36,47,0,0,1,7994,9390,35,3454,14307,Approved
Good,Unemployed,Land,Fair,Auto,Bankruptcy,Other,34527,17103,70,9,5,1,0,8498,4618,34,2574,9440,Rejected
Good,Self-Employed,Other,Excellent,Mortgage,Collection,Other,19356,43584,88,59,5,4,3,14221,9812,14,3929,10208,Approved
Good,Unemployed,Investment,Fair,Other,Other,Other,17405,17640,31,79,2,1,3,18097,7448,77,1319,9908,Rejected
Poor,Self-Employed,Car,Good,Auto,None,Debt Consolidation,25434,10298,61,83,2,0,2,700,7169,49,1972,13289,Rejected
Good,Self-Employed,None,Good,Student,Other,Debt Consolidation,40245,28965,76,15,1,0,4,10727,746,41,4153,19475,Approved
Fair,Employed,Land,Good,Auto,Tax Lien,Debt Consolidation,35447,42390,79,13,1,0,0,534,8086,58,4145,19077,Rejected
Fair,Unemployed,Car,Good,Personal,Bankruptcy,Home Improvement,37775,32611,75,19,2,1,2,3605,12801,48,4077,18570,Rejected
Fair,Self-Employed,None,Excellent,Personal,Tax Lien,Business,36278,12406,98,20,2,0,5,3211,1760,83,3140,19485,Rejected
Poor,Self-Employed,Land,Poor,Mortgage,Tax Lien,Debt Consolidation,37543,40376,22,27,3,5,0,3471,3738,7,4780,18064,Rejected
Good,Self-Employed,House,Good,Mortgage,Other,Business,24920,48453,74,11,0,2,4,10567,14035,66,4012,7087,Rejected
Poor,Employed,Other,Excellent,Personal,Bankruptcy,Business,40056,24076,71,83,4,2,0,14105,8243,94,3376,15296,Rejected
Poor,Employed,Land,Poor,Personal,Other,Business,21688,37875,4,88,5,5,1,9067,8084,23,4249,19867,Rejected
Poor,Unemployed,House,Excellent,Other,Bankruptcy,Other,10331,23879,40,51,2,4,5,866,7305,65,3362,10471,Rejected
Excellent,Employed,Land,Poor,Mortgage,None,Other,46718,47209,64,15,0,0,5,14540,9326,30,3711,17836,Rejected
Fair,Self-Employed,Investment,Fair,Mortgage,Other,Home Improvement,45605,14633,59,47,4,2,5,14990,2446,4,1437,16774,Rejected
Excellent,Employed,Investment,Excellent,Personal,None,Debt Consolidation,49209,26337,22,4,1,2,2,7398,3016,76,1881,4908,Rejected
Excellent,Unemployed,Other,Excellent,Student,Tax Lien,Other,42635,16134,88,4,0,4,5,14783,3383,4,4379,7584,Rejected
Good,Self-Employed,Land,Poor,Mortgage,Other,Other,46907,19095,22,74,1,3,1,2246,3469,48,3861,9501,Approved
Good,Employed,House,Excellent,Mortgage,Collection,Other,19879,29747,34,83,5,4,1,2167,8227,48,1087,13020,Approved
Poor,Unemployed,Investment,Poor,Other,Collection,Debt Consolidation,49019,43508,45,97,1,1,1,5443,2204,8,1514,6417,Rejected
Good,Self-Employed,None,Fair,Mortgage,Tax Lien,Debt Consolidation,47939,35190,6,72,3,0,1,5313,17042,61,1139,6876,Rejected
Good,Unemployed,Car,Fair,Personal,Judgement,Car Financing,10737,17833,69,85,3,0,2,19541,17077,18,2608,14048,Rejected
Poor,Self-Employed,Land,Good,Mortgage,Bankruptcy,Business,33252,11318,94,70,1,5,0,11941,282,40,1628,9482,Rejected
Excellent,Employed,Car,Good,Other,Collection,Other,11354,48771,85,11,5,0,3,7657,5195,49,1880,2494,Rejected
Fair,Self-Employed,Investment,Poor,Personal,Collection,Car Financing,32003,22266,96,70,5,3,3,17604,10346,9,1481,4528,Rejected
Good,Unemployed,None,Good,Personal,None,Debt Consolidation,41608,17987,81,93,5,0,3,14872,8770,20,2364,17305,Rejected
Good,Self-Employed,Car,Good,Mortgage,Collection,Debt Consolidation,22248,20593,92,20,5,4,4,2764,18011,48,1246,9158,Approved
Poor,Employed,None,Fair,Mortgage,Judgement,Debt Consolidation,22449,10496,68,6,0,4,3,17488,12780,3,4419,3537,Rejected
Fair,Employed,Other,Good,Mortgage,Collection,Business,42407,25879,56,44,5,5,0,10076,2400,5,2563,18599,Rejected
Good,Self-Employed,House,Poor,Personal,Collection,Business,41238,49368,12,44,2,1,5,18304,4923,29,2864,19650,Rejected
Excellent,Unemployed,Car,Fair,Student,Tax Lien,Debt Consolidation,19771,49979,64,34,5,3,4,4679,3375,15,3873,8276,Rejected
Fair,Unemployed,House,Poor,Other,Collection,Debt Consolidation,23733,31617,46,97,5,3,5,6987,15701,82,4739,13967,Rejected
Poor,Self-Employed,House,Poor,Auto,None,Other,24452,17052,11,83,1,4,2,2719,3115,53,1619,11925,Rejected
Poor,Unemployed,None,Excellent,Mortgage,Collection,Home Improvement,46066,41291,34,84,3,0,0,15705,12684,3,2324,5117,Rejected
Excellent,Self-Employed,Car,Fair,Student,None,Car Financing,25861,31518,77,6,5,3,1,10495,9288,12,4654,9384,Rejected
Good,Unemployed,Investment,Excellent,Other,Other,Debt Consolidation,38590,20232,41,0,0,1,2,7474,1725,18,2228,8625,Rejected
Fair,Self-Employed,House,Poor,Student,None,Business,12917,44065,15,59,4,3,0,17480,4910,79,4708,4179,Rejected
Poor,Unemployed,Investment,Excellent,Auto,Collection,Business,44432,43702,9,74,4,1,5,15190,19574,27,4332,15605,Rejected
Good,Unemployed,Investment,Excellent,Other,Collection,Car Financing,21550,33117,99,2,3,1,1,7799,12673,42,1521,3551,Approved
Good,Unemployed,None,Excellent,Personal,None,Business,35427,10518,45,7,5,2,1,12337,7622,95,3292,1174,Rejected
Good,Employed,Other,Fair,Other,None,Car Financing,47488,42541,57,33,0,5,0,7802,11223,79,1161,7042,Approved
Good,Unemployed,Investment,Excellent,Student,Tax Lien,Car Financing,33135,11974,30,81,4,0,2,12289,587,32,4846,2931,Rejected
Good,Employed,Car,Good,Other,Other,Car Financing,22086,34473,83,4,4,4,1,10829,3993,47,1472,433,Rejected
Excellent,Employed,Other,Fair,Personal,None,Home Improvement,33587,21312,89,52,5,5,2,9641,1298,27,3804,13450,Rejected
Good,Employed,None,Excellent,Mortgage,Other,Other,34989,40886,23,40,3,1,5,777,16167,15,2428,12770,Rejected
Excellent,Employed,None,Poor,Student,Other,Debt Consolidation,47521,23538,90,1,0,0,4,10539,13620,18,4258,13527,Rejected
Excellent,Self-Employed,Other,Good,Student,Tax Lien,Car Financing,19650,26614,10,0,1,2,2,4111,7597,34,3942,18103,Rejected
Poor,Self-Employed,Car,Excellent,Other,Bankruptcy,Other,30082,45799,9,84,3,4,3,7239,3571,93,1348,2241,Rejected
Good,Unemployed,House,Excellent,Auto,Tax Lien,Other,34493,10459,64,87,2,0,4,1862,15342,35,4225,18089,Rejected
Poor,Unemployed,Investment,Excellent,Other,None,Car Financing,35719,14243,17,77,1,2,3,7409,4062,86,3090,13587,Rejected
Fair,Unemployed,Investment,Good,Personal,None,Home Improvement,46004,23081,46,58,5,0,5,9384,223,41,4554,12910,Rejected
Good,Unemployed,Land,Poor,Student,Bankruptcy,Debt Consolidation,41867,38239,33,11,5,1,5,14585,3728,69,3103,8037,Rejected
Good,Employed,Car,Fair,Student,Bankruptcy,Car Financing,36259,49818,75,90,0,0,0,5632,1880,90,2869,1550,Rejected
Poor,Employed,Investment,Good,Student,None,Other,22064,49522,98,1,4,0,4,10216,19610,20,2401,917,Rejected
Excellent,Unemployed,House,Poor,Other,Bankruptcy,Debt Consolidation,40594,48954,60,34,0,1,3,12316,15614,38,3183,10254,Rejected
Fair,Unemployed,Other,Poor,Student,None,Other,31812,27986,85,32,0,5,4,14747,12404,62,2659,19410,Rejected
Poor,Unemployed,None,Excellent,Mortgage,Judgement,Car Financing,23015,23635,14,8,5,2,1,15325,5744,64,4803,5517,Rejected
Excellent,Unemployed,Car,Poor,Personal,Other,Home Improvement,49409,47023,44,88,2,5,0,14805,10448,56,2379,13743,Rejected
Fair,Unemployed,Land,Excellent,Mortgage,Other,Home Improvement,41732,46417,74,26,0,2,4,13207,3450,47,3768,2841,Rejected
Fair,Employed,House,Good,Auto,Bankruptcy,Debt Consolidation,20674,45292,5,30,5,2,4,4893,17154,54,3746,2904,Rejected
Fair,Unemployed,House,Excellent,Student,Other,Home Improvement,43493,12685,91,88,1,4,1,5695,15570,51,1824,7104,Rejected
Good,Unemployed,Land,Poor,Student,None,Home Improvement,44007,36381,65,3,5,3,3,17127,2773,11,4336,3805,Rejected
Fair,Employed,Investment,Poor,Student,Collection,Car Financing,47719,24175,31,71,4,0,3,12088,4304,89,3442,7066,Rejected
Good,Self-Employed,Car,Good,Auto,Collection,Car Financing,46852,12522,66,42,3,4,5,4855,4833,95,3140,10234,Rejected
Poor,Unemployed,Land,Poor,Auto,Bankruptcy,Car Financing,32299,19426,58,88,1,2,0,11228,3102,9,1247,1897,Rejected
Fair,Self-Employed,House,Poor,Other,Collection,Business,10863,13175,37,40,3,4,1,15626,16291,36,2173,5438,Rejected
Good,Employed,House,Excellent,Mortgage,None,Other,16012,18788,45,85,3,5,0,13616,15021,40,1115,13515,Rejected
Poor,Self-Employed,Other,Fair,Mortgage,Other,Home Improvement,45041,14600,99,19,5,5,4,15114,11557,32,4497,13351,Rejected
Excellent,Employed,Land,Fair,Student,Bankruptcy,Home Improvement,41282,13191,38,54,5,3,3,15807,5887,92,3152,19206,Rejected
Excellent,Self-Employed,None,Poor,Student,Bankruptcy,Debt Consolidation,40635,38538,54,76,3,4,1,13338,11026,23,1237,280,Rejected
Poor,Employed,House,Fair,Student,Other,Home Improvement,46436,30110,24,58,1,4,0,17254,14917,78,3268,19000,Rejected
Good,Employed,None,Excellent,Auto,Bankruptcy,Home Improvement,28112,34624,49,56,5,0,4,17153,6871,30,3343,15572,Approved
Fair,Unemployed,Investment,Good,Other,Other,Car Financing,40255,23012,55,34,4,3,2,6319,1534,22,4653,7945,Rejected
Fair,Unemployed,None,Good,Auto,Other,Car Financing,29862,24775,65,58,2,1,0,17425,8802,39,3586,16140,Rejected
Poor,Employed,Investment,Excellent,Personal,Bankruptcy,Debt Consolidation,48050,29948,56,55,0,5,1,2521,1139,66,2652,9607,Rejected
Good,Employed,House,Poor,Personal,None,Other,36779,23928,43,62,3,1,0,11734,10264,46,4606,19363,Rejected
Good,Self-Employed,Investment,Fair,Auto,Collection,Car Financing,19143,30267,38,56,0,3,4,6834,6045,22,4513,5280,Approved
Excellent,Self-Employed,Investment,Excellent,Personal,Judgement,Debt Consolidation,32607,38876,20,57,3,5,4,14993,13575,49,3123,2778,Rejected
Good,Self-Employed,None,Good,Other,Collection,Business,13853,32939,12,12,0,1,4,9868,505,65,2592,19240,Approved
Excellent,Unemployed,None,Poor,Other,Bankruptcy,Debt Consolidation,40356,43113,36,15,5,4,1,11371,12134,10,2015,6003,Rejected
Poor,Unemployed,Investment,Good,Mortgage,None,Car Financing,49638,17690,65,76,0,2,2,6178,1449,88,4554,19332,Rejected
Fair,Self-Employed,None,Fair,Other,Other,Other,20968,43103,61,21,5,0,4,9109,15898,33,3383,13311,Rejected
Poor,Employed,Investment,Fair,Student,None,Car Financing,36933,32921,12,23,5,2,1,12728,4417,33,1673,17013,Rejected
Poor,Unemployed,None,Fair,Personal,Judgement,Business,41175,26116,49,3,5,3,3,13379,4194,37,4601,4787,Rejected
Good,Unemployed,Investment,Fair,Student,Other,Car Financing,37839,25238,27,10,5,1,0,2946,19530,76,2181,14437,Rejected
Fair,Employed,Investment,Fair,Auto,Judgement,Other,21984,26351,92,59,5,1,0,7663,8490,49,3951,2690,Rejected
Good,Unemployed,Car,Poor,Personal,Judgement,Car Financing,13486,15736,81,34,3,2,2,5019,14426,65,2329,12991,Rejected
Excellent,Self-Employed,Land,Good,Other,Judgement,Debt Consolidation,37634,35238,76,73,2,3,2,16431,15504,14,4866,164,Rejected
Poor,Self-Employed,Land,Good,Other,Other,Car Financing,39636,27430,57,58,2,0,2,12906,983,34,2607,16126,Rejected
Good,Unemployed,Car,Excellent,Personal,None,Other,35988,46238,33,20,1,3,4,2295,19239,57,2389,2758,Rejected
Poor,Self-Employed,Car,Fair,Auto,Judgement,Home Improvement,34739,13830,80,70,0,4,2,2164,5812,75,2773,16757,Rejected
Fair,Unemployed,House,Good,Auto,Other,Home Improvement,34233,20106,40,65,0,3,1,4745,10786,78,4369,8366,Rejected
Excellent,Employed,Car,Good,Mortgage,Other,Business,36272,12364,37,37,5,4,0,4384,17623,41,4003,9818,Rejected
Poor,Employed,None,Good,Student,Bankruptcy,Car Financing,25165,35968,59,21,4,5,2,7530,10389,81,2076,18609,Rejected
Poor,Employed,House,Poor,Personal,Tax Lien,Debt Consolidation,47521,33090,41,25,5,1,0,1853,14965,67,4790,10414,Rejected
Fair,Unemployed,Other,Excellent,Other,None,Business,18800,35653,35,13,1,1,3,17011,7365,11,2826,17182,Rejected
Poor,Self-Employed,Land,Fair,Other,Collection,Home Improvement,15392,40370,3,63,1,2,3,10667,14243,100,3176,3073,Rejected
Poor,Unemployed,None,Poor,Personal,Judgement,Other,20347,18638,89,77,1,2,0,11992,15733,40,1941,18227,Rejected
Fair,Unemployed,Car,Fair,Student,None,Debt Consolidation,40383,36910,76,51,3,2,0,10773,7930,71,1420,6180,Rejected
Excellent,Unemployed,None,Fair,Other,None,Debt Consolidation,18183,33691,33,99,3,3,5,14673,2704,28,3186,4376,Rejected
Excellent,Self-Employed,Car,Fair,Mortgage,None,Home Improvement,32025,42949,95,25,1,5,3,5355,15864,31,1533,12266,Rejected
Good,Self-Employed,Other,Poor,Personal,Bankruptcy,Debt Consolidation,37269,39748,40,38,0,5,2,19349,9433,79,2756,19190,Approved
Fair,Unemployed,Other,Fair,Other,Other,Other,23948,34604,65,42,5,2,2,4816,864,7,2616,10110,Rejected
Excellent,Employed,Car,Good,Other,None,Car Financing,47957,45922,73,27,0,4,2,18783,11320,60,4719,8567,Rejected
Good,Self-Employed,Other,Excellent,Personal,Collection,Business,40925,49250,67,82,5,4,3,8297,6049,44,1904,9533,Approved
Good,Self-Employed,None,Poor,Student,Judgement,Home Improvement,17940,44981,100,80,4,4,3,4408,19221,89,2240,6409,Approved
Poor,Self-Employed,None,Good,Auto,Collection,Debt Consolidation,41106,42329,74,69,5,4,2,15417,7171,69,4380,12259,Rejected
Poor,Employed,Car,Fair,Other,Judgement,Home Improvement,44634,34088,52,61,3,3,3,3662,10493,53,2530,7086,Rejected
Good,Employed,Other,Good,Auto,Bankruptcy,Business,18763,43220,24,50,1,2,0,12536,18248,37,3806,2521,Rejected
Fair,Employed,Car,Fair,Other,Other,Debt Consolidation,47413,39195,84,46,4,3,0,2281,14031,44,4131,11658,Rejected
Poor,Self-Employed,House,Good,Other,Other,Home Improvement,36989,23665,87,14,5,1,2,6525,18847,65,4405,3527,Rejected
Poor,Employed,Other,Poor,Personal,None,Debt Consolidation,42958,23763,44,19,1,3,4,2049,2101,19,3468,16628,Rejected
Excellent,Unemployed,House,Fair,Student,Judgement,Debt Consolidation,40014,31173,90,98,2,0,0,8441,15579,46,2656,6372,Rejected
Fair,Unemployed,Other,Good,Auto,Tax Lien,Other,44009,23697,20,6,5,4,3,12418,7115,9,4663,15489,Rejected
Good,Self-Employed,None,Good,Other,Collection,Home Improvement,45220,43681,40,68,3,0,2,18117,14254,47,4522,775,Rejected
Fair,Unemployed,None,Good,Mortgage,Other,Business,31804,49082,58,21,1,0,2,2051,9942,20,2642,1595,Rejected
Fair,Unemployed,Investment,Fair,Auto,None,Business,15991,29910,9,54,3,3,0,16192,5860,7,1342,404,Rejected
Fair,Self-Employed,Car,Excellent,Auto,Other,Other,24431,27186,30,7,1,5,4,7864,8564,60,4682,14317,Rejected
Good,Unemployed,None,Good,Auto,Tax Lien,Debt Consolidation,13878,33743,99,81,0,0,0,13134,19195,64,1624,13042,Rejected
